Sr.,Treatment Kit/ID No,Qty.,Randomization Group,Status
1,K0001,1,Teriperatide,Active
2,K0002,1,Teriperatide,Active
3,K0003,1,Teriperatide,Active
4,K0004,1,Teriperatide,Active
5,K0005,1,Teriperatide,Active
6,K0006,1,Teriperatide,Active
7,K0007,1,Teriperatide,Active
8,K0008,1,Teriperatide,Active
9,K0009,1,Teriperatide,Active
10,K0010,1,Teriperatide,Active
11,K0011,1,Teriperatide,Active
12,K0012,1,Teriperatide,Active
13,K0013,1,Teriperatide,Active
14,K0014,1,Teriperatide,Active
15,K0015,1,Teriperatide,Active
16,K0016,1,Teriperatide,Active
17,K0017,1,Teriperatide,Active
18,K0018,1,Teriperatide,Active
19,K0019,1,Teriperatide,Active
20,K0020,1,Teriperatide,Active
21,K0021,1,Teriperatide,Active
22,K0022,1,Teriperatide,Active
23,K0023,1,Teriperatide,Active
24,K0024,1,Teriperatide,Active
25,K0025,1,Teriperatide,Active
26,K0026,1,Teriperatide,Active
27,K0027,1,Teriperatide,Active
28,K0028,1,Teriperatide,Active
29,K0029,1,Teriperatide,Active
30,K0030,1,Teriperatide,Active
31,K0031,1,Teriperatide,Active
32,K0032,1,Teriperatide,Active
33,K0033,1,Teriperatide,Active
34,K0034,1,Teriperatide,Active
35,K0035,1,Teriperatide,Active
36,K0036,1,Teriperatide,Active
37,K0037,1,Teriperatide,Active
38,K0038,1,Teriperatide,Active
39,K0039,1,Teriperatide,Active
40,K0040,1,Teriperatide,Active
41,K0041,1,Teriperatide,Active
42,K0042,1,Teriperatide,Active
43,K0043,1,Teriperatide,Active
44,K0044,1,Teriperatide,Active
45,K0045,1,Teriperatide,Active
46,K0046,1,Teriperatide,Active
47,K0047,1,Teriperatide,Active
48,K0048,1,Teriperatide,Active
49,K0049,1,Teriperatide,Active
50,K0050,1,Teriperatide,Active
51,K0051,1,Teriperatide,Active
52,K0052,1,Teriperatide,Active
53,K0053,1,Teriperatide,Active
54,K0054,1,Teriperatide,Active
55,K0055,1,Teriperatide,Active
56,K0056,1,Teriperatide,Active
57,K0057,1,Teriperatide,Active
58,K0058,1,Teriperatide,Active
59,K0059,1,Teriperatide,Active
60,K0060,1,Teriperatide,Active
61,K0061,1,Teriperatide,Active
62,K0062,1,Teriperatide,Active
63,K0063,1,Teriperatide,Active
64,K0064,1,Teriperatide,Active
65,K0065,1,Teriperatide,Active
66,K0066,1,Teriperatide,Active
67,K0067,1,Teriperatide,Active
68,K0068,1,Teriperatide,Active
69,K0069,1,Teriperatide,Active
70,K0070,1,Teriperatide,Active
71,K0071,1,Teriperatide,Active
72,K0072,1,Teriperatide,Active
73,K0073,1,Teriperatide,Active
74,K0074,1,Teriperatide,Active
75,K0075,1,Teriperatide,Active
76,K0076,1,Teriperatide,Active
77,K0077,1,Teriperatide,Active
78,K0078,1,Teriperatide,Active
79,K0079,1,Teriperatide,Active
80,K0080,1,Teriperatide,Active
81,K0081,1,Teriperatide,Active
82,K0082,1,Teriperatide,Active
83,K0083,1,Teriperatide,Active
84,K0084,1,Teriperatide,Active
85,K0085,1,Teriperatide,Active
86,K0086,1,Teriperatide,Active
87,K0087,1,Teriperatide,Active
