Sr.,Treatment Kit/ID No,Qty.,Randomization Group,Status
88,K0088,1,Teriperatide,Active
89,K0089,1,Teriperatide,Active
90,K0090,1,Teriperatide,Active
91,K0091,1,Teriperatide,Active
92,K0092,1,Teriperatide,Active
93,K0093,1,Teriperatide,Active
94,K0094,1,Teriperatide,Active
95,K0095,1,Teriperatide,Active
96,K0096,1,Teriperatide,Active
97,K0097,1,Teriperatide,Active
98,K0098,1,Teriperatide,Active
99,K0099,1,Teriperatide,Active
100,K0100,1,Teriperatide,Active
101,K0101,1,Teriperatide,Active
102,K0102,1,Teriperatide,Active
103,K0103,1,Teriperatide,Active
104,K0104,1,Teriperatide,Active
105,K0105,1,Teriperatide,Active
106,K0106,1,Teriperatide,Active
107,K0107,1,Teriperatide,Active
108,K0108,1,Teriperatide,Active
109,K0109,1,Teriperatide,Active
110,K0110,1,Teriperatide,Active
111,K0111,1,Teriperatide,Active
112,K0112,1,Teriperatide,Active
113,K0113,1,Teriperatide,Active
114,K0114,1,Teriperatide,Active
115,K0115,1,Teriperatide,Active
116,K0116,1,Teriperatide,Active
117,K0117,1,Teriperatide,Active
118,K0118,1,Teriperatide,Active
119,K0119,1,Teriperatide,Active
120,K0120,1,Teriperatide,Active
121,K0121,1,Teriperatide,Active
122,K0122,1,Teriperatide,Active
123,K0123,1,Teriperatide,Active
124,K0124,1,Teriperatide,Active
125,K0125,1,Teriperatide,Active
126,K0126,1,Teriperatide,Active
127,K0127,1,Teriperatide,Active
128,K0128,1,Teriperatide,Active
129,K0129,1,Teriperatide,Active
130,K0130,1,Teriperatide,Active
131,K0131,1,Teriperatide,Active
132,K0132,1,Teriperatide,Active
133,K0133,1,Teriperatide,Active
134,K0134,1,Teriperatide,Active
135,K0135,1,Teriperatide,Active
136,K0136,1,Teriperatide,Active
137,K0137,1,Teriperatide,Active
138,K0138,1,Teriperatide,Active
139,K0139,1,Teriperatide,Active
140,K0140,1,Teriperatide,Active
141,K0141,1,Teriperatide,Active
142,K0142,1,Teriperatide,Active
143,K0143,1,Teriperatide,Active
144,K0144,1,Teriperatide,Active
145,K0145,1,Teriperatide,Active
146,K0146,1,Teriperatide,Active
147,K0147,1,Teriperatide,Active
148,K0148,1,Teriperatide,Active
149,K0149,1,Teriperatide,Active
150,K0150,1,Teriperatide,Active
151,K0151,1,Teriperatide,Active
152,K0152,1,Teriperatide,Active
153,K0153,1,Teriperatide,Active
154,K0154,1,Teriperatide,Active
155,K0155,1,Teriperatide,Active
156,K0156,1,Teriperatide,Active
157,K0157,1,Teriperatide,Active
158,K0158,1,Teriperatide,Active
159,K0159,1,Teriperatide,Active
160,K0160,1,Teriperatide,Active
161,K0161,1,Teriperatide,Active
162,K0162,1,Teriperatide,Active
163,K0163,1,Teriperatide,Active
164,K0164,1,Teriperatide,Active
165,K0165,1,Teriperatide,Active
166,K0166,1,Teriperatide,Active
167,K0167,1,Teriperatide,Active
168,K0168,1,Teriperatide,Active
169,K0169,1,Teriperatide,Active
170,K0170,1,Teriperatide,Active
171,K0171,1,Teriperatide,Active
172,K0172,1,Teriperatide,Active
173,K0173,1,Teriperatide,Active
174,K0174,1,Teriperatide,Active
175,K0175,1,Teriperatide,Active
176,K0176,1,Teriperatide,Active
177,K0177,1,Teriperatide,Active
178,K0178,1,Teriperatide,Active
179,K0179,1,Teriperatide,Active
180,K0180,1,Teriperatide,Active
181,K0181,1,Teriperatide,Active
182,K0182,1,Teriperatide,Active
183,K0183,1,Teriperatide,Active
184,K0184,1,Teriperatide,Active
185,K0185,1,Teriperatide,Active
186,K0186,1,Teriperatide,Active
187,K0187,1,Teriperatide,Active
188,K0188,1,Teriperatide,Active
189,K0189,1,Teriperatide,Active
190,K0190,1,Teriperatide,Active
191,K0191,1,Teriperatide,Active
192,K0192,1,Teriperatide,Active
193,K0193,1,Teriperatide,Active
194,K0194,1,Teriperatide,Active
195,K0195,1,Teriperatide,Active
196,K0196,1,Teriperatide,Active
197,K0197,1,Teriperatide,Active
198,K0198,1,Teriperatide,Active
199,K0199,1,Teriperatide,Active
200,K0200,1,Teriperatide,Active
